source__target,mouse,marmoset,rhesus,human
BG_CaudoPutamen__FRO_Premotor,1.015548704,1.207490092,0.982277452,0.795933594
OLF_Piriform__BG_Pallidum,1.02113734,0.7194052,0.605031111,0.664299716
OCC_Lateral__THL_Hypothalamus,1.026738728,0.938576021,1.183314764,0.911621616
FRO_Prefrontal__TEM_Superior,1.032352998,1.244291418,1.495365476,2.031007376
PAR__INS_Anterior,1.037980285,0.474303473,0.847965083,2.041162738
THL_Hypothalamus__TEM_Medial,1.043620723,0.780488901,0.906262307,1.30717042
TEM_Hippocampus__FRO_Premotor,1.049274448,1.538450418,1.147560351,1.153478369
OLF_Piriform__FRO_Premotor,1.054941599,1.256708385,0.74472647,0.734576366
INS_Anterior__FRO_Precentral,1.060622313,0.196322863,0.922371479,0.684246722
OLF_Anterior__FRO_Precentral,1.066316733,1.352434719,0.590338097,0.369791201
THL_Hypothalamus__FRO_Precentral,1.072024999,0.724455164,0.949433508,1.054941599
THL_Hypothalamus__FRO_Prefrontal,1.077747257,0.874318504,1.015548704,1.453339347
TEM_Amygdala__OCC_Medial,1.083483652,0.714362224,0.863748876,1.171330248
BG_CaudoPutamen__BG_Accumbens,1.089234331,0.890245592,1.153478369,0.498278001
INS_Posterior__TEM_Amygdala,1.094999442,1.02113734,1.332903145,0.954878928
PAR__OLF_Anterior,1.100779137,1.385449807,0.879617747,0.654363425
THL_Hypothalamus__CIN_Anterior,1.106573567,0.853217058,0.760007241,1.29443226
TEM_Hippocampus__THL_Hypothalamus,1.112382887,0.922371479,1.22580797,1.032352998
TEM_Hippocampus__BG_Pallidum,1.118207253,1.13577221,1.207490092,1.488289692
FRO_Prefrontal__INS_Posterior,1.124046822,1.165363144,1.345901595,1.219683878
FRO_Precentral__INS_Anterior,1.129901754,0.313305821,0.965803701,1.281777067
TEM_Hippocampus__FRO_Precentral,1.13577221,1.43269982,1.385449807,1.288094407
TEM_Hippocampus__FRO_Prefrontal,1.141658354,1.747862319,1.575222331,1.887002385
BG_Accumbens__BG_Pallidum,1.147560351,0.884926742,1.159412576,0.285162144
OLF_Piriform__CIN_Anterior,1.153478369,1.077747257,0.749812563,0.704296916
BG_CaudoPutamen__THL_Thalamus,1.159412576,1.43955287,1.326437312,1.124046822
OCC_Medial__OLF_Anterior,1.165363144,1.345901595,0.842722268,0.679250484
THL_Hypothalamus__PAR,1.171330248,0.954878928,1.100779137,1.345901595
TEM_Superior__FRO_Premotor,1.177314061,1.269203029,1.256708385,1.425873141
OLF_Piriform__THL_Hypothalamus,1.183314764,1.560415271,0.911621616,0.832263736
OCC_Medial__THL_Hypothalamus,1.189332534,1.159412576,1.171330248,1.165363144
TEM_Hippocampus__TEM_Superior,1.195367555,2.203540027,1.538450418,2.158251661
OLF_Anterior__BG_Pallidum,1.201420012,0.869028914,0.674260619,0.483882037
FRO_Premotor__THL_Hypothalamus,1.207490092,1.141658354,1.244291418,1.118207253
TEM_Hippocampus__CIN_Anterior,1.213577983,1.731351098,1.129901754,1.772972793
INS_Posterior__TEM_Medial,1.219683878,1.358990787,1.43955287,1.159412576
THL_Hypothalamus__CIN_Posterior,1.22580797,0.847965083,0.976774497,1.262945892
OLF_Anterior__FRO_Premotor,1.231950458,1.620468057,0.806271099,0.565951046
FRO_Prefrontal__TEM_Medial,1.23811154,1.833265732,1.560415271,1.723162251
THL_Hypothalamus__BG_Pallidum,1.244291418,1.026738728,1.195367555,1.141658354
FRO_Prefrontal__BG_Accumbens,1.250490298,1.106573567,1.094999442,0.842722268
TEM_Medial__FRO_Premotor,1.256708385,1.481242943,1.30717042,1.083483652
INS_Posterior__FRO_Prefrontal,1.262945892,1.509605593,1.798512109,1.195367555
THL_Hypothalamus__TEM_Hippocampus,1.269203029,0.911621616,1.004409165,1.674925007
FRO_Premotor__OLF_Anterior,1.275480015,1.545739824,0.714362224,0.512709146
BG_CaudoPutamen__FRO_Precentral,1.281777067,1.250490298,1.201420012,1.009972689
OLF_Piriform__BG_CaudoPutamen,1.288094407,1.043620723,0.795933594,0.806271099
TEM_Superior__BG_Pallidum,1.29443226,1.009972689,1.339391155,1.868866973
TEM_Amygdala__THL_Thalamus,1.300790854,0.863748876,0.987792273,1.31999341
CIN_Posterior__INS_Posterior,1.30717042,1.378799298,1.523966228,1.474224877
THL_Hypothalamus__OCC_Lateral,1.313571193,0.795933594,0.954878928,1.300790854
TEM_Superior__TEM_Medial,1.31999341,2.07209357,1.488289692,2.443779804
TEM_Hippocampus__PAR,1.326437312,1.824499897,1.756185989,1.815786207
CIN_Anterior__THL_Hypothalamus,1.332903145,1.29443226,1.054941599,1.358990787
OCC_Lateral__INS_Posterior,1.339391155,1.31999341,1.453339347,1.352434719
THL_Thalamus__OLF_Anterior,1.345901595,1.516770658,0.938576021,0.714362224
CIN_Posterior__TEM_Amygdala,1.352434719,1.288094407,1.262945892,1.213577983
FRO_Prefrontal__THL_Hypothalamus,1.358990787,1.22580797,1.275480015,1.049274448
THL_Thalamus__THL_Hypothalamus,1.365570061,1.326437312,1.31999341,1.244291418
TEM_Superior__FRO_Precentral,1.372172808,1.300790854,1.597687221,1.731351098
TEM_Superior__FRO_Prefrontal,1.378799298,1.201420012,1.868866973,2.690446167
OCC_Lateral__TEM_Amygdala,1.385449807,1.23811154,1.502470655,1.177314061
FRO_Precentral__THL_Hypothalamus,1.392124612,1.083483652,1.300790854,1.089234331
TEM_Medial__BG_Pallidum,1.398823996,1.100779137,1.358990787,1.372172808
TEM_Medial__THL_Hypothalamus,1.405548248,1.037980285,1.392124612,0.993319083
TEM_Superior__CIN_Anterior,1.412297657,1.183314764,1.231950458,2.416204971
OLF_Anterior__CIN_Anterior,1.419072522,1.419072522,0.811452431,0.546527868
TEM_Hippocampus__BG_CaudoPutamen,1.425873141,1.698855255,1.553061305,2.180699292
TEM_Medial__FRO_Precentral,1.43269982,1.405548248,1.659173177,1.231950458
BG_CaudoPutamen__PAR,1.43955287,1.605245112,1.405548248,1.275480015
FRO_Premotor__TEM_Superior,1.446432606,1.372172808,1.73958424,2.051394611
TEM_Medial__FRO_Prefrontal,1.453339347,1.723162251,1.981331414,1.807123869
THL_Hypothalamus__OCC_Medial,1.460273418,0.949433508,1.043620723,1.682860864
INS_Posterior__CIN_Posterior,1.46723515,1.46723515,1.698855255,1.106573567
THL_Hypothalamus__BG_Accumbens,1.474224877,1.129901754,1.29443226,0.7194052
TEM_Medial__CIN_Anterior,1.481242943,1.690837424,1.269203029,1.635837074
FRO_Prefrontal__CIN_Posterior,1.488289692,1.981331414,1.877906038,1.628134062
TEM_Medial__TEM_Superior,1.495365476,2.545517094,1.905370651,1.923979446
TEM_Hippocampus__TEM_Amygdala,1.502470655,1.213577983,1.590164429,1.43269982
BG_Accumbens__BG_CaudoPutamen,1.509605593,1.30717042,1.446432606,0.417119131
CIN_Anterior__TEM_Superior,1.516770658,1.460273418,1.365570061,2.471989159
TEM_Superior__PAR,1.523966228,1.70691494,2.093115997,2.50086682
CIN_Anterior__OLF_Anterior,1.531192685,1.446432606,0.874318504,0.580568411
INS_Posterior__CIN_Anterior,1.538450418,1.474224877,1.281777067,1.13577221
INS_Posterior__TEM_Hippocampus,1.545739824,1.612838567,1.76455592,1.385449807
OLF_Anterior__BG_CaudoPutamen,1.553061305,1.281777067,0.853217058,0.639503869
FRO_Prefrontal__TEM_Hippocampus,1.560415271,2.125283453,1.933376539,2.192069512
INS_Posterior__OCC_Lateral,1.567802138,1.392124612,1.567802138,1.147560351
TEM_Superior__CIN_Posterior,1.575222331,1.177314061,1.747862319,2.311656886
OCC_Medial__INS_Posterior,1.582676282,1.667029295,1.914644489,1.905370651
FRO_Prefrontal__OCC_Lateral,1.590164429,1.868866973,1.682860864,1.715017071
PAR__THL_Hypothalamus,1.597687221,1.582676282,1.545739824,1.332903145
THL_Hypothalamus__BG_CaudoPutamen,1.605245112,1.567802138,1.516770658,1.567802138
TEM_Medial__PAR,1.612838567,1.789950169,2.203540027,1.747862319
TEM_Superior__TEM_Hippocampus,1.620468057,2.031007376,1.84208452,3.147334871
OLF_Piriform__TEM_Amygdala,1.628134062,1.952361327,1.124046822,1.066316733
OCC_Medial__TEM_Amygdala,1.635837074,1.531192685,1.474224877,1.620468057
CIN_Anterior__INS_Posterior,1.64357759,1.398823996,1.23811154,1.46723515
FRO_Premotor__TEM_Amygdala,1.651356118,1.502470655,1.620468057,1.560415271
TEM_Superior__BG_CaudoPutamen,1.659173177,1.488289692,1.815786207,3.026120319
TEM_Superior__OCC_Lateral,1.667029295,1.590164429,1.612838567,2.429915084
